year,sp500,bonds,birkin,balenciaga,paddington,cpi
2005,1248.2900390625,53.05244064331055,6200,1100.0,1500.0,195.3
2006,1418.300048828125,55.11790466308594,6500,1250.0,1350.0,201.6
2007,1468.3599853515625,58.72618865966797,7200,1300.0,1100.0,207.3
2008,903.25,63.38728332519531,7800,1150.0,800.0,215.3
2009,1115.0999755859375,65.36509704589844,7000,900.0,600.0,214.5
2010,1257.6400146484375,69.37394714355469,7600,950.0,500.0,218.1
2011,1257.5999755859375,74.92843627929688,8500,1050.0,420.0,224.9
2012,1426.18994140625,77.55022430419922,9800,1200.0,380.0,229.6
2013,1848.3599853515625,76.33345031738281,11200,1150.0,350.0,233.0
2014,2058.89990234375,80.7464599609375,12000,1000.0,300.0,236.7
2015,2043.93994140625,81.17145538330078,12200,800.0,250.0,237.0
2016,2238.830078125,83.23545837402344,13000,750.0,240.0,240.0
2017,2673.610107421875,86.34367370605469,14500,700.0,250.0,245.1
2018,2506.85009765625,86.47054290771484,15800,650.0,280.0,251.1
2019,3230.780029296875,93.8292007446289,17900,620.0,300.0,255.7
2020,3756.070068359375,100.95317840576172,20900,600.0,350.0,258.8
2021,4766.18017578125,99.20642852783203,23200,680.0,420.0,271.0
2022,3839.5,86.10411834716797,23800,750.0,500.0,292.7
2023,4769.830078125,90.86910247802734,21500,600.0,650.0,304.7
2024,5881.6298828125,91.99813842773438,18600,700.0,800.0,313.7
2025,6845.5,98.59529876708984,18900,800.0,1100.0,321.9
